Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,10909837,2,"Thursday, March 17, 2011 02:58:46 UTC",33.1683,-115.6807,1.0,0.00,11,"Southern California"
ci,10909829,4,"Thursday, March 17, 2011 02:55:18 UTC",33.2240,-116.7413,1.1,13.20,44,"Southern California"
us,c00024wx,7,"Thursday, March 17, 2011 02:48:32 UTC",39.6382,142.8353,4.8,20.10,36,"near the east coast of Honshu, Japan"
us,c00024wv,A,"Thursday, March 17, 2011 02:47:59 UTC",-17.3387,167.7431,6.3,15.20,235,"Vanuatu"
nc,71544046,3,"Thursday, March 17, 2011 02:13:55 UTC",40.6482,-124.7603,3.5,6.60,59,"offshore Northern California"
nc,71544041,3,"Thursday, March 17, 2011 02:03:12 UTC",39.4995,-122.9523,2.3,10.30,33,"Northern California"
uw,03170153,1,"Thursday, March 17, 2011 01:53:19 UTC",45.1243,-120.9245,1.6,16.00,13,"Oregon"
us,c00024vs,6,"Thursday, March 17, 2011 01:31:58 UTC",-19.9543,-66.6834,4.7,223.40,131,"Potosi, Bolivia"
ci,10909789,4,"Thursday, March 17, 2011 01:09:00 UTC",33.2277,-116.7403,1.0,12.10,35,"Southern California"
us,c00024v9,5,"Thursday, March 17, 2011 01:08:01 UTC",36.3867,142.8913,5.0,20.00,32,"off the east coast of Honshu, Japan"
us,c00024v2,5,"Thursday, March 17, 2011 01:00:08 UTC",-57.9131,-25.6848,5.4,85.80,206,"South Sandwich Islands region"
us,c00024us,7,"Thursday, March 17, 2011 00:55:02 UTC",-32.4650,-71.5312,5.1,23.30,176,"offshore Valparaiso, Chile"
us,c00024um,7,"Thursday, March 17, 2011 00:42:49 UTC",37.3788,143.7036,5.0,25.00,121,"off the east coast of Honshu, Japan"
ak,10193005,1,"Thursday, March 17, 2011 00:08:50 UTC",60.3547,-152.1553,1.7,74.00,10,"Southern Alaska"
us,c00024t0,5,"Wednesday, March 16, 2011 23:38:19 UTC",39.1651,142.6606,5.7,25.30,410,"near the east coast of Honshu, Japan"
pr,11075005,1,"Wednesday, March 16, 2011 23:37:43 UTC",19.3490,-67.9229,3.6,12.10,14,"Dominican Republic region"
ci,10909757,2,"Wednesday, March 16, 2011 23:20:28 UTC",35.0443,-117.6883,1.2,0.00, 8,"Southern California"
ak,10192986,1,"Wednesday, March 16, 2011 23:05:38 UTC",64.9944,-147.3975,1.4,3.20, 8,"Central Alaska"
pr,11075004,1,"Wednesday, March 16, 2011 23:04:09 UTC",19.4829,-65.3349,3.8,56.10,21,"Puerto Rico region"
ci,10909741,2,"Wednesday, March 16, 2011 22:59:23 UTC",33.8345,-116.9647,1.0,11.50,15,"Southern California"
nc,71543991,2,"Wednesday, March 16, 2011 22:44:34 UTC",37.6193,-118.8637,1.3,4.60,22,"Long Valley area, California"
us,c00024qu,5,"Wednesday, March 16, 2011 22:36:16 UTC",-32.4686,-71.4243,5.3,24.70,152,"Valparaiso, Chile"
ak,10192968,1,"Wednesday, March 16, 2011 22:25:42 UTC",58.0290,-153.9979,2.2,50.20,13,"Kodiak Island region, Alaska"
us,c00024q4,7,"Wednesday, March 16, 2011 22:14:52 UTC",38.8314,144.2048,5.1,26.90,186,"off the east coast of Honshu, Japan"
nc,71543981,2,"Wednesday, March 16, 2011 22:13:51 UTC",38.7185,-122.7650,1.1,6.20,38,"Northern California"
ci,10909733,2,"Wednesday, March 16, 2011 22:09:20 UTC",33.8453,-117.4832,1.5,0.00, 9,"Greater Los Angeles area, California"
us,c00024pw,5,"Wednesday, March 16, 2011 22:07:53 UTC",38.7965,144.1916,5.0,25.70,85,"off the east coast of Honshu, Japan"
us,c00024pg,A,"Wednesday, March 16, 2011 22:03:21 UTC",37.6089,143.4821,5.1,39.80,161,"off the east coast of Honshu, Japan"
ak,10192950,1,"Wednesday, March 16, 2011 21:35:11 UTC",63.5346,-151.1192,2.2,8.70,24,"Central Alaska"
nc,71543971,2,"Wednesday, March 16, 2011 21:34:29 UTC",40.4273,-124.4250,2.1,18.40,13,"offshore Northern California"
nc,71543966,3,"Wednesday, March 16, 2011 21:15:59 UTC",36.7752,-121.4402,1.9,9.00,56,"Central California"
ci,10909717,2,"Wednesday, March 16, 2011 21:14:31 UTC",33.2320,-115.6372,1.9,8.60,10,"Southern California"
ci,10909709,6,"Wednesday, March 16, 2011 21:03:48 UTC",33.6278,-116.6772,1.6,16.50,85,"Southern California"
us,c00024ky,A,"Wednesday, March 16, 2011 20:44:42 UTC",37.3577,143.6096,5.3,20.20,212,"off the east coast of Honshu, Japan"
nc,71543946,2,"Wednesday, March 16, 2011 20:35:45 UTC",38.7992,-122.8098,1.1,2.40,43,"Northern California"
nc,71543941,3,"Wednesday, March 16, 2011 20:33:34 UTC",38.8368,-122.7860,1.2,2.60,36,"Northern California"
ci,10909685,4,"Wednesday, March 16, 2011 20:28:21 UTC",34.3353,-116.8760,1.4,0.00,18,"Southern California"
ak,10192829,1,"Wednesday, March 16, 2011 20:27:04 UTC",62.1287,-149.3208,1.9,27.60, 7,"Central Alaska"
ci,10909653,4,"Wednesday, March 16, 2011 19:49:48 UTC",35.7412,-117.6727,2.2,7.80,52,"Southern California"
ci,36978239,2,"Wednesday, March 16, 2011 19:48:28 UTC",33.6580,-117.0063,1.1,11.30,24,"Southern California"
us,c00024hm,8,"Wednesday, March 16, 2011 19:35:02 UTC",37.6413,141.9867,5.0,24.90,173,"near the east coast of Honshu, Japan"
nc,71543926,2,"Wednesday, March 16, 2011 19:31:29 UTC",37.6182,-118.8583,1.4,4.90,24,"Long Valley area, California"
ak,10192803,1,"Wednesday, March 16, 2011 19:20:13 UTC",62.9238,-148.1043,2.1,54.90,23,"Central Alaska"
